# prefix,# ISO 3166 alpha-2 code,# region,# city,# postal code deprecated
206.82.16.0/20,US,US-PA,Lancaster,
206.82.16.0/24,US,US-PA,Lancaster,
206.82.17.80.0/28,US,US-PA,Mount Joy,
206.82.17.112/28,US,US-PA,Mount Joy,
206.82.17.216/28,US,US-PA,Birdsboro,
206.82.17.224/27,US,US-PA,Birdsboro,
206.82.18.0/24,US,US-PA,Lancaster,
206.82.18.0/26,US,US-PA,Annville,
206.82.18.64/26,US,US-PA,Denver,
206.82.18.128/26,US,US-PA,,
206.82.18.192/26,US,US-PA,Lancaster,
206.82.19.0/26,US,US-PA,Mount Joy,
206.82.19.64/26,US,US-PA,,
206.82.19.128/26,US,US-PA,Myerstown,
206.82.19.192/26,US,US-PA,Elizabethtown,
206.82.20.0/26,US,US-PA,Ephrata,
206.82.20.64/26,US,US-PA,Landisville,
206.82.20.128/26,US,US-PA,,
206.82.20.192/26,US,US-PA,Lancaster,
206.82.21.0/26,US,US-PA,Manheim,
206.82.21.64/26,US,US-PA,Lancaster,
206.82.21.128/26,US,US-PA,Fredericksburg,
206.82.21.192/26,US,US-PA,Palmyra,
206.82.22.0/26,US,US-PA,,
206.82.22.64/26,US,US-PA,Kinzers,
206.82.22.128/26,US,US-PA,Quarryville,
206.82.22.192/26,US,US-PA,,
206.82.23.0/26,US,US-PA,Lebanon,
206.82.23.64/26,US,US-PA,,
206.82.23.128/26,US,US-PA,Harrisburg,
206.82.23.192/26,US,US-PA,Middletown,
206.82.24.0/24,US,US-PA,Lancaster,
206.82.25.0/24,US,US-PA,Lancaster,
206.82.26.0/24,US,US-PA,Lancaster,
206.82.27.0/24,US,US-PA,,
206.82.28.0/26,US,US-PA,Lebanon,
206.82.28.64/29,US,US-PA,Lebanon,
206.82.28.72/29,US,US-PA,,
206.82.28.80/28,US,US-PA,,
206.82.28.96/27,US,US-PA,Leola,
206.82.28.128/26,US,US-PA,,
206.82.28.192/26,US,US-PA,,
206.82.29.0/26,US,US-PA,Lebanon,
206.82.29.64/26,US,US-PA,Lebanon,
206.82.29.128/27,US,US-PA,Harrisburg,
206.82.29.160/27,US,US-PA,Lancaster,
206.82.29.192/28,US,US-PA,Lancaster,
206.82.29.208/28,US,US-PA,Lancaster,
206.82.29.224/28,US,US-PA,Ephrata,
206.82.29.240/28,US,US-PA,Lancaster,
206.82.30.0/26,US,US-PA,Harrisburg,
206.82.30.64/26,US,US-PA,,
206.82.30.128/26,US,US-PA,,
206.82.30.192/26,US,US-PA,,
206.82.31.0/26,US,US-PA,,
206.82.31.64/26,US,US-PA,,
206.82.31.128/26,US,US-PA,,
206.82.31.192/26,US,US-PA,,
2620:1d5::/32,US,US-PA,Lancaster,
2620:1d5::/40,US,US-PA,Lancaster,
2620:1d5:100::/40,US,US-PA,Lebanon,
2620:1d5:500::/40,US,US-PA,Harrisburg,
2620:1d5:720::/44,US,US-PA,Kinzers,
2620:1d5:730::/44,US,US-PA,Quarryville,
2620:1d5:a00::/44,US,US-PA,Lancaster,
2620:1d5:a30::/44,US,US-PA,Harrisburg,
2620:1d5:c00::/48,US,US-PA,Mount Joy,
2620:1d5:c01::/48,US,US-PA,Ephrata,
2620:1d5:c07::/48,US,US-PA,Mount Joy,
2620:1d5:3200::/40,US,US-PA,Annville,
2620:1d5:3300::/40,US,US-PA,Denver,
2620:1d5:3400::/40,US,US-PA,Columbia,
2620:1d5:3500::/40,US,US-PA,Lancaster,
2620:1d5:3600::/40,US,US-PA,Lebanon,
2620:1d5:3700::/40,US,US-PA,Mount Joy,
2620:1d5:3800::/40,US,US-PA,New Holland,
2620:1d5:3900::/40,US,US-PA,Myerstown,
2620:1d5:4000::/40,US,US-PA,Elizabethtown,
2620:1d5:4100::/40,US,US-PA,Ephrata,
2620:1d5:4200::/40,US,US-PA,Landisville,
2620:1d5:4300::/40,US,US-PA,Lancaster,
2620:1d5:4400::/40,US,US-PA,Lancaster,
2620:1d5:4500::/40,US,US-PA,Lebanon,
2620:1d5:4600::/40,US,US-PA,Manheim,
2620:1d5:4700::/40,US,US-PA,Lancaster,
2620:1d5:4800::/40,US,US-PA,Fredericksburg,
2620:1d5:4900::/40,US,US-PA,Kinzers,
2620:1d5:5000::/40,US,US-PA,Millersville,
2620:1d5:5100::/40,US,US-PA,Kinzers,
2620:1d5:5200::/40,US,US-PA,Quarryville,
2620:1d5:5300::/40,US,US-PA,Lititz,
2620:1d5:5500::/40,US,US-PA,Lebanon,
2620:1d5:5600::/40,US,US-PA,Lancaster,
2620:1d5:6100::/40,US,US-PA,Harrisburg,
2620:1d5:6400::/40,US,US-PA,Middletown,
2620:1d5:6500::/40,US,US-PA,Lancaster,
2620:1d5:6600::/40,US,US-PA,Lancaster,
2620:1d5:6700::/40,US,US-PA,Mount Joy,
2620:1d5:6800::/40,US,US-PA,Lancaster,
2620:1d5:6900::/40,US,US-PA,Ephrata,
2620:1d5:7200::/40,US,US-PA,Mount Joy,
2620:1d5:7300::/40,US,US-PA,Lancaster,
2620:1d5:7700::/40,US,US-PA,Lancaster,
2620:1d5:7900::/40,US,US-PA,Birdsboro,
2620:1d5:8000::/40,US,US-PA,Reading,
